,precision,recall,f1-score,support
0,0.5714285714285714,0.6666666666666666,0.6153846153846154,18.0
1,1.0,1.0,1.0,11.0
2,0.875,1.0,0.9333333333333333,7.0
3,0.896551724137931,0.9454545454545454,0.9203539823008849,165.0
4,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
5,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
6,0.9901960784313726,0.9711538461538461,0.9805825242718447,104.0
7,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
8,1.0,0.875,0.9333333333333333,8.0
9,0.8333333333333334,0.8571428571428571,0.8450704225352113,35.0
10,1.0,0.96,0.9795918367346939,25.0
11,1.0,1.0,1.0,25.0
12,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
13,0.8378378378378378,0.96875,0.8985507246376812,32.0
14,1.0,1.0,1.0,10.0
15,0.9047619047619048,1.0,0.95,19.0
16,0.9130434782608695,0.84,0.875,25.0
17,0.95,0.9047619047619048,0.926829268292683,21.0
18,1.0,0.6666666666666666,0.8,12.0
19,1.0,0.9487179487179487,0.9736842105263158,39.0
20,0.8,0.5714285714285714,0.6666666666666666,7.0
21,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
22,0.7777777777777778,0.7,0.7368421052631579,10.0
23,1.0,0.9615384615384616,0.9803921568627451,26.0
24,0.96,0.96,0.96,25.0
25,1.0,0.9393939393939394,0.96875,33.0
26,0.9629629629629629,1.0,0.9811320754716981,26.0
27,0.5882352941176471,0.8695652173913043,0.7017543859649122,23.0
28,0.7735849056603774,0.7068965517241379,0.7387387387387387,58.0
29,0.9473684210526315,1.0,0.972972972972973,18.0
30,0.8636363636363636,0.6129032258064516,0.7169811320754716,31.0
accuracy,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334
macro avg,0.8863931027699069,0.8666913659432015,0.8722084246301874,864.0
weighted avg,0.9015464803724257,0.8958333333333334,0.8957079251422334,864.0
